"id";"imdb_link";"title";"description";"imdb_score";"genre";"imdb_movie_poster"
110877;"http://www.imdb.com/title/tt110877";"Il Postino: The Postman (1994)";"";7.7;"Biography|Comedy|Drama";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5NDI4NjQyOV5BMl5BanBnXkFtZTYwODI1NDE5._V1_UY268_CR3,0,182,268_AL_.jpg"
110882;"http://www.imdb.com/title/tt110882";"Before the Rain (1994)";"";8.1;"Drama|War";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3MzAwMzc1N15BMl5BanBnXkFtZTcwMjA4NjA3MQ@@._V1_UY268_CR5,0,182,268_AL_.jpg"
111579;"http://www.imdb.com/title/tt111579";"Burnt by the Sun (1994)";"";8.0;"Drama|War";"https://images-na.ssl-images-amazon.com/images/M/MV5BMzQ5MDUwNDMyOV5BMl5BanBnXkFtZTcwOTQyMTAwMQ@@._V1_UY268_CR0,0,182,268_AL_.jpg"
111797;"http://www.imdb.com/title/tt111797";"Eat Drink Man Woman (1994)";"";7.8;"Comedy|Drama|Romance";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5NTQxMjc5MV5BMl5BanBnXkFtZTcwMjYxODcxMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
112281;"http://www.imdb.com/title/tt112281";"Ace Ventura: When Nature Calls (1995)";"";6.3;"Adventure|Comedy|Crime";"https://images-na.ssl-images-amazon.com/images/M/MV5BNGFiYTgxZDctNGI4OS00MWU1LWIwOGUtZmMyNGQxYjVkZjQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
112286;"http://www.imdb.com/title/tt112286";"Across the Sea of Time (1995)";"";6.4;"Adventure|Drama|Family";"https://images-na.ssl-images-amazon.com/images/M/MV5BOTIwMzk1MDc1MF5BMl5BanBnXkFtZTcwMTEzNDkyMQ@@._V1_UY268_CR43,0,182,268_AL_.jpg"
112288;"http://www.imdb.com/title/tt112288";"The Addiction (1995)";"";6.4;"Horror";"https://images-na.ssl-images-amazon.com/images/M/MV5BMWYzN2EyMmMtMTU2My00MWY2LTkyMGYtMjk0MzVkZGZiMzNjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
112302;"http://www.imdb.com/title/tt112302";"Tom and Huck (1995)";"";5.6;"Adventure|Comedy|Drama";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNDYzMDY1OV5BMl5BanBnXkFtZTcwNDA2MzYxMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg"
112342;"http://www.imdb.com/title/tt112342";"The Amazing Panda Adventure (1995)";"";5.8;"Family|Adventure|Drama";"https://images-na.ssl-images-amazon.com/images/M/MV5BNzM2MjM0MzI3OF5BMl5BanBnXkFtZTcwOTc2MDcxMQ@@._V1_UY268_CR1,0,182,268_AL_.jpg"
112346;"http://www.imdb.com/title/tt112346";"The American President (1995)";"";6.8;"Comedy|Drama|Romance";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5NDU2NDYzOF5BMl5BanBnXkFtZTYwNDk5MDI5._V1_UY268_CR4,0,182,268_AL_.jpg"
